```csv
Sequencia;Trecho;NumeroTorre;VaoVante_m;TextoTorre;Tipificacao;Concreto_m3;PesoArmacao_ton;PesoEstrutura_ton;TramoLancamento
```
1;C1;TRIO_C1;113,39;PORT;PORT;0;0;0;19
2;C1;0/1A;217,61;MSCAT;Autoportante;66;3355,15;27,427;19
3;C1;0/2;174,27;KD12A2;Autoportante;80,5;3946,89;38,4264;19
4;C1;TRIO_C2;126,39;PORT;PORT;0;0;0;19
5;C1;0/1B;201,68;MSCAT;Autoportante;58,5;3450,66;27,532;19
6;C1;0/3;393,82;KD2AT;Autoportante;89,5;6803,1;74,4892;19
7;C1;0/4;370,55;KD2SL;Autoportante;38,5;2376,35;31,935;19
8;C1;1/1A;127,91;KD12A2;Autoportante;121,512;4268,9;59,5781;18
9;C1;1/1;681,77;KD12AE;Autoportante;108,5556;4891,79;38,253;18
10;C1;1/2;506,23;KD2SP;Autoportante;36;3337,27;26,2088;18
11;C1;2/1;180,29;KD2AT;Autoportante;191,16;12623,05;67,2582;18
12;C1;2/2;216,84;KD2SL;Autoportante;0;0;30,368;18
13;C1;2/3;305,24;KD2SL;Autoportante;43,08;3671,13;21,597;18
14;C1;3/1;308,55;KD12A1;Autoportante;56,34;3295,75;40,0655;18
15;C1;3/2;132,85;KD12A2;Autoportante;95,952;6241,56;57,3119;18
16;C1;3/3;438,7;KD2SL;Autoportante;40,884;3444,88;34,1603;18
17;C1;3/4;730;KD12A1;Autoportante;72,948;5120,36;55,03;18
18;C1;4/1;205;KD12A1;Autoportante;62,448;4,14528;53,9212;18
19;C1;4/2;245;KD12A1;Autoportante;68,832;6,02952;54,3495;18
20;C1;5/1;350;KD2SL;Autoportante;29,424;2,23872;35,0926;18
21;C1;5/2;475;KD2SL;Autoportante;29,424;2,23872;31,9138;18
22;C1;6/1;305;KD2SL;Autoportante;31,584;2,556;21,7815;18
23;C1;6/2;650;KD2A1V;Autoportante;97,98;6128,98;59,6599;18
24;C1;6/3;329,06;KD2A1V;Autoportante;123,036;7710,83;59,9836;18
25;C1;7/1;620,94;KD12A1;Autoportante;102,54;4246,05;35,1027;17
26;C1;7/2;392,89;KD2SL;Autoportante;86,5;4670,74;23,1719;17
27;C1;8/1;455,96;KD2AT;Autoportante;177,732;16,527639;77,1667;17
28;C1;8/2;456,15;KD12A1;Autoportante;111,516;4747,36;56,6322;17
29;C1;9/1;633,32;KD2SL;Autoportante;90,864;5,56752;34,5747;23
30;C1;9/2;359,87;KD2AT;Autoportante;152,496;14,38752;75,7233;23
31;C1;10/1;329,01;KD2SL;Autoportante;40,884;4,74432;23,4655;23
32;C1;10/2;261,81;KD2SL;Autoportante;40,884;4,74432;23,4655;23
33;C1;10/3;429,61;KD12A1;Autoportante;75,168;6,5448;44,5191;23
34;C1;11/1;582,82;KD2SL;Autoportante;40,884;4,74432;31,232;23
35;C1;11/2;370,15;KD12A2;Autoportante;72,336;8,62032;59,5781;23
36;C1;12/1;304,33;KD2SP;Autoportante;44,496;5,43984;41,4135;23
37;C1;12/2;296,59;KD2SL;Autoportante;40,884;5,1168;26,4315;23
38;C1;12/3;255,25;KD2SL;Autoportante;40,884;4,74432;21,802;23
39;C1;13/1A;331,25;KD2SL;Autoportante;40,884;4,74432;21,802;23
40;C1;13/2A;337,92;KD2SL;Autoportante;40,884;4,74432;23,4655;23
41;C1;13/1;455;KD12A1;Autoportante;72,948;6,80208;39,6429;23
42;C1;13/2;204,65;KD12EM;Estaiada;29,376;2,37168;15,2379;23
43;C1;13/3;495,35;KD12A1;Autoportante;91,104;8,45088;34,753;23
44;C1;14/1;338,09;KD2SL;Autoportante;48,24;5,1168;35,156;23
45;C1;14/2;351,91;KD12A1;Autoportante;81,552;7,06008;35,2728;23
46;C1;15/1;237,85;KD2AT;Autoportante;142,848;13,5252;78,7671;23
47;C1;15/2;450,79;KD2AT;Autoportante;142,848;13,5252;74,3734;23
48;C1;15/3;233,8;KD12A2;Autoportante;142,848;13,5252;58,9122;23
49;C1;15/4;580;KD2AT;Autoportante;123,552;10,8684;74,3734;23
50;C1;16/1;475;KD2SL;Autoportante;58,5;4173,7;36,3904;10
51;C1;17/1;420;KD2SL;Autoportante;53;4762,76;36,6185;10
52;C1;17/2;485;KD2SL;Autoportante;90,864;5,56752;26,753;10
53;C1;17/3;600;KD2SP;Autoportante;0;0;31,347;10
54;C1;18/1;305,74;KD2SL;Autoportante;57,648;2,58264;31,232;10
55;C1;18/2;396,17;KD12A2;Autoportante;76,164;6786,17;44,352;10
56;C1;19/1;620;KD2SL;Autoportante;41,2;3534,98;26,4315;10
57;C1;19/2;445;KD2SL;Autoportante;51,5;3344,51;25,6518;10
58;C1;20/1;835;KD2SP;Autoportante;28;2506,04;32,2352;10
59;C1;21/1;350;KD2SP;Autoportante;66;0;28,0075;10
60;C1;21/2;510;KD2SL;Autoportante;64;0;21,802;10
61;C1;21/3;210,88;KD2SL;Autoportante;65;2547,73;21,7621;10
62;C1;22/1;369,12;KD12A1;Autoportante;71,9;3071,43;39,6429;10
63;C1;22/2;260;KD12EM;Estaiada;0;0;15,2379;10
64;C1;22/3;585;KD12EM;Estaiada;0;0;15,2307;10
65;C1;23/1;425;KD2SL;Autoportante;42;3788,73;23,4655;10
66;C1;23/2;790;KD2SP;Autoportante;37,8;3731,95;37,3301;22
67;C1;24/1;605;KD2SP;Autoportante;62,712;3,48144;37,1187;22
68;C1;25/1;375;KD2SL;Autoportante;64;0;27,4067;22
69;C1;25/2;585;KD2SL;Autoportante;53;0;27,7282;22
70;C1;26/1;505;KD2SL;Autoportante;49,5;0;30,2635;22
71;C1;26/2;253,92;KD12EM;Estaiada;20,616;0;17,6105;22
72;C1;26/3;586,12;KD12A1;Autoportante;73,5;0;34,533;22
73;C1;27/1;555,05;KD2SL;Autoportante;35,436;0;28,0698;22
74;C1;27/2;445;KD2EP;Estaiada;32;2046,8;18,7046;22
75;C1;28/1;410;KD2SL;Autoportante;33,5;2373,26;25,0632;22
76;C1;28/2;360;KD2SL;Autoportante;36;2503,1;27,054;22
77;C1;29/1;395;KD2SL;Autoportante;0;0;21,46;22
78;C1;29/2;465;KD2SP;Autoportante;0;0;36,3129;9
79;C1;30/1;485;KD2SL;Autoportante;41,6;3472,24;22,7168;9
80;C1;30/2;478,76;KD2SL;Autoportante;78;3227,58;35,4064;9
81;C1;31/1;806,24;KD12A2;Autoportante;24;2918,86;57,5608;9
82;C1;31/2;730;KD12A1;Autoportante;43;0;54,6744;9
83;C1;32/1;180;KD2SL;Autoportante;21,024;2,52018;27,5319;9
84;C1;32/2;465;KD12A1;Autoportante;40;2667,07;42,2142;9
85;C1;33/1;530;KD2SL;Autoportante;46,5;2332,77;26,1307;9
86;C1;33/2;415;KD12EM;Estaiada;31,5;1907,4;15,2379;9
87;C1;34/1;677;KD2EP;Estaiada;30;2076,8;15,8092;9
88;C1;34/2;413;KD2EP;Estaiada;20;1254,52;15,8092;9
89;C1;35/1;290;KD12EM;Estaiada;25;1644,28;15,2379;9
90;C1;35/2;325;KD2SL;Autoportante;29;2368,06;28,3841;9
91;C1;35/3;240;KD2SL;Autoportante;34;2855,2;30,1188;9
92;C1;36/1;425;KD12EM;Estaiada;30;1659,28;16,3172;9
93;C1;36/2;670;KD2TR;Autoportante;70,5;2703,6;29,0408; 
94;C1;37/1;635;KD2SP;Autoportante;69,5;2811,14;28,0777;11
95;C1;37/2;362,73;KD2SL;Autoportante;56,5;2345,44;33,9317;11
96;C1;38/1;562,27;KD12A1;Autoportante;70,5;0;54,4718;11
97;C1;38/2;585;KD2SL;Autoportante;29,5;2250,59;34,6059;11
98;C1;39/1;505;KD2EP;Estaiada;43,5;2693,76;19,4176;11
99;C1;39/2;425;KD2SL;Autoportante;39;2602,62;34,1604;11
100;C1;40/1;638,5;KD2SL;Autoportante;43;0;26,4315;11
101;C1;40/2;446,5;KD2EP;Estaiada;33,5;2516,28;19,4176;11
102;C1;41/1;262,87;KD12EM;Estaiada;0;0;17,1825;11
103;C1;41/2;377,13;KD12A2;Autoportante;0;0;51,134;1
104;C1;42/1;570;KD12EM;Estaiada;0;0;17,1825;1
105;C1;42/2;415;KD2SL;Autoportante;0;0;31,0145;1
106;C1;42/3;530;KD2SL;Autoportante;0;0;24,1157;1
107;C1;43/1;520;KD2EP;Estaiada;0;0;18,7046;1
108;C1;44/1;625;KD2SL;Autoportante;0;0;28,1856;1
109;C1;44/2;650;KD2SP;Autoportante;30;2504,17;31,4953;1
110;C1;45/1;385;KD2SP;Autoportante;0;0;23,094;1
111;C1;45/2;321;KD12EM;Estaiada;0;0;16,1032;1
112;C1;46/1;394;KD2EP;Estaiada;0;0;17,2569;1
113;C1;46/2;268,64;KD2SL;Autoportante;0;0;21,5898;1
114;C1;46/3;721,36;KD2AT;Autoportante;0;0;76,4225;1
115;C1;47/1;400;KD2SL;Autoportante;0;0;36,2564;1
116;C1;47/2;320;KD12EM;Estaiada;0;0;15,2379;1
117;C1;48/1;740;KD2EP;Estaiada;0;0;16,2773;2
118;C1;48/2;530;KD2SP;Autoportante;0;0;32,8505;2
119;C1;49/1;615;KD2A1V;Autoportante;65;4314,43;44,4517;2
120;C1;49/2;530;KD2A1V;Autoportante;52,3;2944,35;57,352;2
121;C1;50/1;368,64;KD2A1V;Autoportante;45,8;2636,94;59,0063;2
122;C1;50/2;566,36;KD12A2;Autoportante;115;0;43,3364;2
123;C1;51/1;405;KD2EP;Estaiada;0;0;19,4176;3
124;C1;51/2;345;KD12EM;Estaiada;7;1907,4;17,8245;3
125;C1;52/1;750;KD2EP;Estaiada;0;0;15,8092;3
126;C1;52/2;545;KD2SP;Autoportante;0;0;29,0134;3
127;C1;53/1;443,46;KD2EP;Estaiada;0;0;16,5222;3
128;C1;53/2;501,54;KD2EP;Estaiada;0;0;15,8092;3
129;C1;54/1;600;KD2A1V;Autoportante;0;0;60,2637;3
130;C1;55/1;760;KD2A1V;Autoportante;63;3167,87;60,1185;3
131;C1;55/2;300;KD2SL;Autoportante;0;0;23,5246;3
132;C1;56/1;745;KD2SL;Autoportante;0;0;30,7207;3
133;C1;56/2;545;KD2SP;Autoportante;82,5;6227,04;41,4135;3
134;C1;57/1;483,83;KD2EP;Estaiada;0;0;18,4597;3
135;C1;57/2;491,17;KD12A2;Autoportante;0;0;42,9771;3
136;C1;58/1;788;KD2SP;Autoportante;0;0;29,1917;4
137;C1;59/1;347;KD2SL;Autoportante;0;0;21,159;4
138;C1;59/2;310;KD12EM;Estaiada;0;0;15,2379;4
139;C1;59/3;765;KD2EP;Estaiada;0;0;15,8092;4
140;C1;60/1;525;KD2SP;Autoportante;0;0;26,517;4
141;C1;61/1;400;KD12EM;Estaiada;25;1644,28;15,2379;4
142;C1;61/2;630;KD2EP;Estaiada;24,5;1807,72;18,4597;5
143;C1;62/1;280;KD2EP;Estaiada;0;0;17,2569;5
144;C1;62/2;480;KD2EP;Estaiada;0;0;15,8092;5
145;C1;62/3;480;KD2EP;Estaiada;0;0;15,8092;5
146;C1;63/1;910;KD2SP;Autoportante;0;0;41,4135;5
147;C1;64/1;510;KD12A1;Autoportante;0;0;54,6858;5
148;C1;64/2;261,84;KD12EM;Estaiada;0;0;15,8892;5
149;C1;65/1;403,16;KD12A2;Autoportante;68,5;6633,62;56,4155;5
150;C1;65/2;780;KD2SL;Autoportante;57,7;2968,36;31,0756;6
151;C1;66/1;159,64;KD2SL;Autoportante;69,5;3041,64;36,1;6
152;C1;66/2;565,36;KD12A2;Autoportante;83,5;4745,54;58,9122;6
153;C1;66/3;308,33;KD12EM;Estaiada;24;1324,24;16,1032;6
154;C1;67/1;561,51;KD12A1;Autoportante;70,5;3281,22;45,6527;6
155;C1;67/2;578;KD2SL;Autoportante;48,6;2248,14;20,8582;7
156;C1;68/1;495;KD2SL;Autoportante;36,9;3393,85;24,9258;7
157;C1;68/2;400;KD2SP;Autoportante;38,4;4000,19;25,4152;7
158;C1;69/1;475;KD2SL;Autoportante;41,8;3517,2;21,9185;7
159;C1;69/2;595;KD2SL;Autoportante;75;3671,67;35,9554;7
160;C1;70/1;410;KD2EP;Estaiada;42,8;2813,4;15,8092;7
161;C1;70/2;860;KD2SP;Autoportante;26,5;0;28,2682;7
162;C1;71/1;360;KD2SP;Autoportante;0;0;27,2935;7
163;C1;72/1;820;KD2SP;Autoportante;0;0;26,1604;8
